#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2024-06-19T10:09:25 [V7.33.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-06-19T10:09:25	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-order=I&-out.src=J/ApJS/194/45/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJS/194/45/catalog&-out=z&-out=logLbol&-out=FIRST&-out=F6cm&-out=logL5100&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21940045
#Name: J/ApJS/194/45
#Title: QSO properties from SDSS-DR7 (Shen+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/apjs/194/45	    IVOID of underlying data collection
#INFO	creator=Shen Y.	    First author or institution
#INFO	cites=bibcode:2011ApJS..194...45S	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/194/45	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21940045	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_194_45_catalog:
#Name: J/ApJS/194/45/catalog
#Title: Catalog of quasar properties from SDSS DR7
#Column	z	(F9.6)	SDSS-DR7 redshift (Cat. VII/260)	[ucd=src.redshift]
#Column	logLbol	(F6.3)	? Bolometric luminosity (2)	[ucd=phys.luminosity]
#Column	FIRST	(I2)	[-1/2] FIRST (Cat. VIII/90) radio flag (4)	[ucd=meta.note]
#Column	F6cm	(E10.3)	? Observed radio flux density at rest-frame 6cm	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	logL5100	(F6.3)	? Monochromatic luminosity at 5100{AA}	[ucd=phys.luminosity]
z|logLbol|FIRST|F6cm|logL5100
 1.353100|45.581| 0|          |
 1.519400|46.020| 0|          |
 0.767300|45.564|-1|          |44.346
 0.911200|45.658| 0|          |
 2.485900|46.737| 0|          |
 2.495800|45.745|-1|          |
 1.887800|46.299| 0|          |
 3.146800|46.509| 0|          |
 1.676700|46.278| 0|          |
 1.464600|46.166|-1|          |
 2.624900|46.723| 0|          |
 3.214500|46.661| 0|          |
 1.457100|46.341|-1|          |
 2.470500|46.632| 0|          |
 2.153800|46.924| 0|          |
 1.274000|46.074| 0|          |
 0.940200|45.839| 0|          |
 0.873300|45.826|-1|          |45.180
 1.447300|45.912|-1|          |
 1.356700|46.076|-1|          |
 2.065000|46.571| 0|          |
 0.641700|45.577| 0|          |44.611
 0.858800|45.493|-1|          |44.231
 2.411100|46.375|-1|          |
 2.460300|46.757| 0|          |
 1.341100|46.729| 0|          |
 1.539100|46.069| 0|          |
 1.523000|45.471| 0|          |
 2.074700|45.977| 0|          |
 4.167900|46.310| 0|          |
 1.104100|45.995| 0|          |
 2.980000|47.255|-1|          |
 1.025700|46.213|-1|          |
 1.804600|45.956| 1| 5.208e+00|
 1.204500|46.266|-1|          |
 1.348000|46.511| 0|          |
 0.977000|45.679| 0|          |
 1.417900|46.381| 0|          |
 0.520400|45.507| 0|          |44.540
 1.937100|46.551| 0|          |
 1.102400|46.081|-1|          |
 3.179400|46.773|-1|          |
 1.434600|45.506| 1| 5.096e+00|
 1.839000|46.265|-1|          |
 0.430300|45.453|-1|          |44.487
 1.019900|46.198| 0|          |
 1.302600|46.371|-1|          |
 1.048700|45.565| 0|          |
 3.114200|46.885|-1|          |
 0.817800|45.951| 0|          |44.931
 1.592400|46.611| 0|          |
 1.085900|46.184|-1|          |
 3.231000|46.921|-1|          |
 1.798100|46.187| 0|          |
 0.243400|45.145|-1|          |44.179
 1.795500|45.889| 0|          |
 1.342800|45.843| 0|          |
 3.134400|47.096| 0|          |
 3.016100|47.286| 0|          |
 0.464400|44.968| 0|          |44.001
 0.538100|45.413| 0|          |44.447
 0.445500|45.341| 0|          |44.374
 1.328500|45.723| 0|          |
 1.234600|46.121| 0|          |
 1.248800|46.535| 0|          |
 0.973000|45.558|-1|          |
 1.350700|45.923| 0|          |
 1.176500|46.446| 0|          |
 0.581600|45.729|-1|          |44.762
 2.598900|46.612|-1|          |
 1.449800|45.843| 0|          |
 0.988500|45.693| 0|          |
 1.213500|45.841| 0|          |
 1.478300|46.719| 0|          |
 2.105700|46.673|-1|          |
 1.503100|45.957|-1|          |
 1.742300|46.242|-1|          |
 2.589800|46.533|-1|          |
 0.449500|45.517| 0|          |44.551
 1.392800|46.177| 0|          |
 2.079900|46.391|-1|          |
 1.948300|46.351| 0|          |
 1.210200|46.425| 0|          |
 0.941100|46.253| 0|          |
 2.103500|46.946| 0|          |
 0.291500|45.298| 0|          |44.332
 2.323100|46.503|-1|          |
 1.153000|46.418| 0|          |
 1.861800|46.231|-1|          |
 1.377900|46.491| 0|          |
 2.173400|46.686| 0|          |
 2.266700|46.608| 0|          |
 2.713400|47.056|-1|          |
 1.209700|45.678| 0|          |
 1.172400|46.088| 0|          |
 0.815100|45.467| 0|          |44.420
 0.846100|45.320| 0|          |44.360
 1.340600|46.051| 0|          |
 1.847300|46.753| 0|          |
 2.137000|46.235| 0|          |
 1.721800|45.977| 0|          |
 1.750100|46.099| 0|          |
 1.412700|46.212| 0|          |
 0.966400|45.738| 1| 6.023e+00|
 0.783000|45.968| 2| 1.498e+01|44.968
 1.294500|46.909|-1|          |
 0.900000|46.214| 0|          |
 0.770400|45.756| 0|          |44.632
 2.178100|46.442| 0|          |
 0.467900|45.186| 0|          |44.220
 0.998900|45.751| 0|          |
 1.185500|45.989|-1|          |
 2.805900|46.500| 0|          |
 0.334400|46.138| 0|          |45.172
 1.000200|45.641| 0|          |
 1.277600|46.097|-1|          |
 2.767200|46.639| 0|          |
 1.887100|46.459| 0|          |
 0.441900|45.240| 0|          |44.274
 1.415800|45.943| 0|          |
 1.654400|46.514|-1|          |
 0.996800|46.148|-1|          |
 0.625700|45.373|-1|          |44.407
 0.634600|45.973|-1|          |45.006
 1.020400|45.583| 0|          |
 0.492600|45.929|-1|          |44.963
 1.785700|46.162| 0|          |
 1.932200|46.830| 0|          |
 1.602900|46.087| 0|          |
 0.639300|45.415| 0|          |44.449
 1.912300|46.194| 0|          |
 1.729900|46.353| 0|          |
 1.563600|46.112| 0|          |
 1.636000|46.946| 0|          |
 2.131500|46.565| 0|          |
 0.792800|45.960| 0|          |44.876
 1.384600|46.464| 0|          |
 1.863800|46.449| 0|          |
 0.404400|45.384| 0|          |44.418
 0.712700|45.294| 0|          |44.189
 2.158400|45.758| 0|          |
 1.413500|46.065| 0|          |
 1.660600|46.404| 0|          |
 1.383900|45.901| 0|          |
 3.713100|47.844| 0|          |
 1.393700|45.835| 0|          |
 0.509700|45.314|-1|          |44.348
 2.540200|45.974|-1|          |
 1.659400|47.033| 0|          |
 1.637200|46.538| 0|          |
 1.292300|46.508|-1|          |
 1.090600|46.183| 0|          |
 1.010100|45.894|-1|          |
 1.490000|46.504| 0|          |
 0.523000|45.346| 2| 1.043e+01|44.380
 1.747000|46.485|-1|          |
 0.325400|44.998|-1|          |44.032
 1.798900|46.097| 1| 1.605e+00|
 0.789000|45.591| 2| 5.008e+00|44.809
 1.760300|46.227| 0|          |
 1.393700|46.439| 0|          |
 2.470200|46.667|-1|          |
 1.930700|46.220| 0|          |
 0.489300|45.608| 0|          |44.641
 1.875100|45.955| 0|          |
 1.883800|46.247| 0|          |
 1.978200|46.132| 0|          |
 1.087000|46.135| 0|          |
 2.597900|47.214| 1| 8.397e+00|
 2.068900|46.810| 0|          |
 1.063400|45.624| 0|          |
 0.937000|45.551| 0|          |
 1.600100|46.423| 0|          |
 1.521800|46.097| 0|          |
 0.454500|45.707| 0|          |44.741
 0.522400|45.483| 0|          |44.516
 0.791200|45.634| 0|          |44.737
 2.843500|46.731|-1|          |
 0.860900|45.595| 0|          |44.474
 2.513300|46.336|-1|          |
 2.402700|46.402| 0|          |
 2.435400|46.233|-1|          |
 0.492100|45.052| 0|          |44.085
 0.405000|45.562| 0|          |44.595
 1.343100|46.396| 0|          |
 0.725400|45.137| 0|          |44.192
 1.492000|45.817|-1|          |
 2.164600|46.116| 0|          |
 0.959500|46.325|-1|          |
 1.634900|46.254| 0|          |
 2.149700|46.825| 0|          |
 1.487200|46.258|-1|          |
 1.341700|46.162| 0|          |
 2.194800|46.783|-1|          |
 1.566800|46.645|-1|          |
 1.083100|46.074| 0|          |
 0.848500|45.324| 0|          |44.618
 1.512900|46.087| 0|          |
 1.404200|45.748| 0|          |
 1.994100|46.502|-1|          |
 1.175700|45.742| 0|          |
 1.073900|45.776|-1|          |
 1.119100|45.703| 0|          |
 0.563600|45.463| 0|          |44.496
 1.352900|46.476| 0|          |
 1.183900|45.832|-1|          |
 0.797300|45.281| 0|          |44.724
 1.129300|45.918| 0|          |
 1.192000|45.778| 0|          |
 1.288000|46.627|-1|          |
 3.370400|47.578| 0|          |
 0.412300|45.467| 0|          |44.501
 1.409500|45.934|-1|          |
 0.266900|45.350|-1|          |44.384
 1.563900|46.314| 0|          |
 1.001300|45.624| 0|          |
 1.701500|46.475|-1|          |
 1.500900|45.930| 0|          |
 1.411200|46.581| 0|          |
 1.553200|46.345| 0|          |
 0.626100|45.707|-1|          |44.741
 0.646500|45.726| 0|          |44.759
 2.528100|46.677| 0|          |
 0.412100|45.440| 0|          |44.473
 1.249100|46.221|-1|          |
 1.868700|46.194| 0|          |
 1.754400|46.185| 0|          |
 1.378800|46.071| 0|          |
 1.571500|46.230| 0|          |
 0.244500|44.860| 0|          |43.893
 0.678000|45.550|-1|          |44.584
 3.034300|46.713| 0|          |
 0.645300|45.517|-1|          |44.551
 1.876100|46.385|-1|          |
 2.736700|46.749| 0|          |
 0.681800|45.684| 0|          |44.717
 2.434800|46.465| 0|          |
 0.570600|46.193| 1| 8.788e-01|45.227
 1.024900|45.943| 0|          |
 1.076000|45.940|-1|          |
 2.216100|46.571| 0|          |
 1.411700|45.965| 0|          |
 2.496100|46.345|-1|          |
 1.758600|46.728|-1|          |
 3.060700|46.829| 1| 9.634e-01|
 1.886200|46.438|-1|          |
 0.631500|45.415| 0|          |44.448
 2.755000|47.011| 0|          |
 2.112100|46.316| 0|          |
 2.506600|47.137| 0|          |
 0.526600|45.783| 0|          |44.817
 0.643100|45.668| 0|          |44.702
 1.760400|46.491| 0|          |
 1.925700|46.319| 0|          |
 1.008500|46.258| 0|          |
 1.025100|45.665| 0|          |
 2.025100|46.669| 0|          |
 1.343200|46.227| 0|          |
 0.653400|45.240| 0|          |44.273
 1.324400|45.998| 0|          |
 1.738200|46.184|-1|          |
 2.364700|46.019|-1|          |
 1.077000|45.934| 0|          |
 1.151900|45.686| 0|          |
 4.495400|47.074| 0|          |
 1.681300|46.105| 0|          |
 1.536700|46.340| 0|          |
 1.234000|46.198|-1|          |
 2.258900|46.080|-1|          |
 0.484100|45.488|-1|          |44.522
 1.596000|46.471| 0|          |
 1.148700|45.717| 0|          |
 1.300100|45.799| 0|          |
 2.424600|47.037| 0|          |
 1.118300|45.360|-1|          |
 1.317200|47.081| 0|          |
 1.232300|45.500| 0|          |
 1.698400|45.833| 0|          |
 1.438200|46.527|-1|          |
 1.350700|45.760| 0|          |
 1.146800|46.402| 0|          |
 1.633900|46.572|-1|          |
 1.028200|45.180| 0|          |
 1.096000|45.928| 0|          |
 0.704300|45.196| 0|          |44.415
 2.506700|46.995| 0|          |
 2.666000|46.501| 0|          |
 1.404500|46.393|-1|          |
 0.555100|45.423| 0|          |44.456
 0.238900|45.151| 0|          |44.185
 0.499000|45.302| 0|          |44.335
 2.385200|46.380|-1|          |
 1.711100|46.692| 0|          |
 0.888500|45.244| 0|          |44.592
 1.161400|46.464| 0|          |
 2.675600|46.194| 0|          |
 1.216500|45.651| 0|          |
 1.554600|46.436| 0|          |
 2.819500|46.823|-1|          |
 1.614700|46.452|-1|          |
 1.394800|46.223| 0|          |
 1.473700|46.372| 0|          |
 0.913100|45.632| 0|          |
 0.714400|45.553| 0|          |44.671
 2.657100|46.435| 0|          |
 0.779600|45.581| 0|          |44.639
 1.648300|46.111| 0|          |
 1.695400|46.455| 0|          |
 1.853200|46.811| 0|          |
 1.924100|46.378| 0|          |
 0.642000|45.972| 0|          |45.005
 2.503700|46.746| 0|          |
 2.265800|45.792| 1| 7.370e-01|
 2.026800|46.172| 0|          |
 2.250100|47.165|-1|          |
 0.973600|45.286|-1|          |
 2.479700|46.620| 0|          |
 1.353400|46.490| 0|          |
 2.404100|46.618| 0|          |
 0.609100|45.723| 0|          |44.756
 2.029000|46.628| 0|          |
 2.764300|46.782|-1|          |
 1.920800|46.978| 0|          |
 0.521500|45.126| 0|          |44.160
 2.380500|46.482|-1|          |
 2.095600|46.845| 0|          |
 2.043500|46.954|-1|          |
 1.362500|46.614|-1|          |
 3.059200|46.458| 0|          |
 0.825000|45.879| 0|          |44.971
 1.561300|46.839| 0|          |
 2.985300|46.225| 0|          |
 0.827200|45.747| 0|          |44.756
 2.730000|48.026| 0|          |
 2.387600|46.507| 0|          |
 1.947600|46.709|-1|          |
 2.473000|46.819|-1|          |
 2.286700|46.764| 0|          |
 1.293700|46.606| 0|          |
 1.587000|46.310|-1|          |
 1.037200|46.076| 0|          |
 1.571700|46.832| 0|          |
 2.350800|46.625| 0|          |
 1.725400|46.369| 0|          |
 2.482300|46.885| 0|          |
 1.084400|45.460| 1| 1.500e+00|
 0.459200|44.943| 0|          |43.976
 0.634700|45.711|-1|          |44.745
 2.107900|46.614| 0|          |
 1.147200|46.795|-1|          |
 1.462000|46.997| 1| 3.059e+01|
 0.389000|45.327| 0|          |44.360
 1.845500|46.528| 0|          |
 2.422200|46.151|-1|          |
 0.717900|45.806| 1| 4.818e-01|44.939
 0.872600|45.772| 0|          |44.809
 2.794000|46.853| 0|          |
 0.905700|45.596| 0|          |
 2.903800|46.597| 0|          |
 1.637900|46.825| 0|          |
 0.680400|45.546| 0|          |44.580
 0.760500|45.318| 1| 9.012e-01|44.584
 0.511100|45.416|-1|          |44.449
 1.343300|46.109| 0|          |
 1.536200|45.877| 0|          |
 1.994700|46.464| 0|          |
 3.188000|46.524|-1|          |
 1.276800|46.448| 0|          |
 4.148100|47.058| 0|          |
 0.885400|45.935| 1| 9.490e+00|45.220
 1.475200|46.606| 0|          |
 2.331600|46.618| 0|          |
 0.832700|46.057| 0|          |45.164
 1.284100|45.916| 0|          |
 3.172900|47.203| 0|          |
 0.971200|46.249|-1|          |
 0.518400|45.170| 0|          |44.203
 1.201100|46.276|-1|          |
 0.405100|45.207| 0|          |44.240
 0.922900|45.692| 0|          |
 2.946900|46.564| 0|          |
 1.038900|45.790| 0|          |
 1.018700|46.186| 0|          |
 0.688700|46.422|-1|          |45.455
 0.408500|45.217| 0|          |44.250
 1.731900|46.346| 0|          |
 0.393400|45.246| 0|          |44.279
 2.825700|46.905|-1|          |
 0.594100|45.328| 0|          |44.361
 1.971800|46.406| 0|          |
 0.979500|46.758| 0|          |
 1.112600|45.736| 0|          |
 0.397800|45.335| 0|          |44.368
 0.803900|45.736| 0|          |44.706
 2.386200|46.240| 0|          |
 1.297700|46.149| 0|          |
 1.651600|46.485| 0|          |
 2.368100|46.214|-1|          |
 1.027000|45.987| 0|          |
 1.590000|47.264|-1|          |
 2.078700|46.355| 0|          |
 0.746800|45.161| 0|          |44.620
 1.788600|46.162| 0|          |
 2.543700|46.407| 0|          |
 1.627800|46.574| 0|          |
 1.621800|46.081| 0|          |
 1.502700|46.915|-1|          |
 0.618600|46.584| 0|          |45.618
 1.575800|46.887|-1|          |
 0.432700|45.656|-1|          |44.690
 2.129100|47.497|-1|          |
 0.982700|45.927| 0|          |
 1.028700|46.488|-1|          |
 0.989300|45.976| 0|          |
 0.734100|45.569| 0|          |44.740
 1.930900|46.276| 0|          |
 0.554200|45.559| 0|          |44.593
 2.040000|47.115| 0|          |
 2.008700|46.526| 0|          |
 2.210600|46.423|-1|          |
 1.298300|45.612| 0|          |
 2.048400|46.351| 0|          |
 2.224200|46.501| 0|          |
 1.038900|45.740| 0|          |
 0.740500|45.444| 0|          |44.460
 1.794000|46.100| 0|          |
 0.483600|45.176| 0|          |44.210
 1.918200|46.527| 0|          |
 3.198700|46.755| 0|          |
 2.000400|46.923| 0|          |
 1.339200|45.914| 0|          |
 2.162700|47.268| 0|          |
 1.705300|47.052| 0|          |
 1.820600|46.655| 1| 3.176e+00|
 1.484800|46.766| 0|          |
 0.861600|45.706| 0|          |44.918
 0.372600|45.264|-1|          |44.298
 1.591300|46.140| 0|          |
 0.525900|45.391| 0|          |44.424
 2.688200|46.493| 0|          |
 0.764700|46.160| 0|          |45.128
 0.930600|46.205| 0|          |
 0.860200|45.527| 0|          |44.803
 0.876600|46.419|-1|          |45.516
 1.917300|46.223| 0|          |
 1.475700|46.394|-1|          |
 0.789000|44.943| 0|          |44.399
 0.985600|45.934| 0|          |
 1.663000|46.960| 0|          |
 0.506400|45.477| 0|          |44.510
 3.303500|46.192| 0|          |
 2.720900|46.448| 0|          |
 1.497300|46.177| 0|          |
 1.679700|46.716| 2| 6.722e+01|
 1.906500|46.486| 0|          |
 0.879500|45.079| 0|          |44.595
 3.313100|47.587| 0|          |
 1.463000|46.141| 0|          |
 1.696300|46.772| 0|          |
 1.780500|46.253| 0|          |
 1.633500|46.381| 0|          |
 0.525300|45.455| 0|          |44.488
 2.677500|46.782| 0|          |
 1.001400|46.195| 0|          |
 2.100000|45.620| 0|          |
 1.985000|46.433| 0|          |
 0.363900|45.390| 0|          |44.423
 1.494700|46.091| 0|          |
 3.374400|46.814| 0|          |
 1.182400|45.630|-1|          |
 0.558200|45.371| 0|          |44.405
 2.158100|46.750|-1|          |
 1.491300|45.970| 0|          |
 1.688200|46.724| 0|          |
 0.707900|46.231| 0|          |45.167
 2.163100|46.469| 0|          |
 0.317600|45.157|-1|          |44.190
 1.379000|46.526| 0|          |
 1.903400|46.163| 0|          |
 0.775800|45.928|-1|          |44.926
 0.370500|45.163| 0|          |44.196
 1.975500|45.756| 0|          |
 1.752800|45.835| 0|          |
 0.853900|45.923|-1|          |44.973
 1.102800|45.990| 0|          |
 1.379100|45.979| 0|          |
 0.902400|45.713|-1|          |
 1.053500|45.816| 0|          |
 3.304900|47.079|-1|          |
 1.466500|46.732| 1| 8.124e-01|
 1.427200|46.376| 0|          |
 1.092200|45.746| 0|          |
 0.552100|46.578| 0|          |45.612
 2.070600|47.453|-1|          |
 0.623100|45.374| 0|          |44.407
 2.027000|46.365| 0|          |
 2.188200|46.894|-1|          |
 1.452300|46.091| 0|          |
 1.074000|46.762| 0|          |
 2.077800|46.383| 0|          |
 0.667500|45.428| 0|          |44.462
 1.853200|46.473|-1|          |
 2.113500|46.374| 0|          |
 0.432000|45.697|-1|          |44.730
 0.950700|46.163|-1|          |
 2.041000|46.289| 0|          |
 2.590900|47.143| 1| 2.837e+00|
 0.485200|45.253| 0|          |44.287
 2.730700|45.935| 0|          |
 1.957300|45.973| 0|          |
 2.763100|47.041| 0|          |
 0.758600|45.897| 0|          |45.080
 1.430600|46.364|-1|          |
 2.736100|46.208|-1|          |
 1.786900|46.597|-1|          |
 2.977400|47.108| 0|          |
 1.176400|46.313| 0|          |
 1.926300|46.521|-1|          |
 0.303700|45.569| 0|          |44.603
 1.232100|45.952| 0|          |
 1.132800|46.077| 0|          |
 2.006000|46.605| 0|          |
 1.423600|46.232| 0|          |
 0.729300|45.373| 0|          |44.560
 2.255400|46.443| 0|          |
 2.378000|47.049|-1|          |
 4.178600|46.968|-1|          |
 1.232300|46.476| 0|          |
 1.739400|46.535| 0|          |
 0.434100|45.272|-1|          |44.305
 1.338800|46.241|-1|          |
 1.794200|46.105| 0|          |
 1.728600|46.151| 0|          |
 1.490800|46.258|-1|          |
 0.701800|44.859| 0|          |43.935
 1.677300|46.141| 0|          |
 0.528900|45.974|-1|          |45.008
 1.861500|46.528| 0|          |
 3.702300|47.466| 0|          |
 1.538500|46.153| 0|          |
 2.723700|46.971|-1|          |
